Year,Quarter,Name,ConstituencyName,ConstituencySize,NumberOfElectors,EmployeesSalary,ServiceContracts,Travel,Member,DesignatedTraveller,Dependants,Employees,AccommodationExpenses,DiemExpenses,SecondaryResidenceExpenses,Hospitality,Gifts,Advertising,Printing,Householders,TenPercenters,PrintingExpenses,Offices,OfficeLeasesInsuranceUtilities,FurnitureFurnishingEquipmentPurchases,EquipmentRentals,InformaticsTelecommunicationEquipmentPurchases,TelecommunicationServices,RepairsMaintenance,PostageCourierServices,MaterialsSupplies,Training,Total
2020,1.0,"Aboultaif,Ziad",Edmonton Manning,158.0,89968.0,53194.1,500.0,9473.52,956.2,0.0,0.0,0.0,0.0,0.0,8517.32,0.0,0.0,798.33,,0.0,0.0,0.0,,9558.32,0.0,0.0,44.99,481.48,0.0,0.0,49.5,0.0,74100.24
2020,1.0,"Aitchison,Scott",Parry Sound—Muskoka,14402.0,83362.0,51822.64,0.0,1673.62,674.82,0.0,0.0,0.0,0.0,322.01,676.79,0.0,0.0,590.0,,0.0,0.0,0.0,,16000.0,0.0,0.0,134.97,1183.58,338.0,0.0,120.0,0.0,71862.81
2020,1.0,"Albas,Dan",Central Okanagan—Similkameen—Nicola,16208.0,95597.0,66389.21,1264.3,8252.41,1923.72,0.0,0.0,0.0,0.0,1671.16,4657.53,127.86,0.0,7765.22,,0.0,0.0,0.0,,10545.99,0.0,0.0,0.0,951.83,0.0,8.55,822.52,13.82,96141.71
2020,1.0,"Alghabra,Hon. Omar",Mississauga Centre,24.0,87888.0,50896.13,284.15,4960.12,913.72,0.0,0.0,0.0,0.0,786.43,3259.97,0.0,0.0,0.0,,0.0,9311.59,600.0,,13400.06,125.0,391.0,4059.99,4368.53,529.81,652.61,452.78,69.1,90100.87
2020,1.0,"Alleslev,Leona",Aurora—Oak Ridges—Richmond Hill,100.0,83340.0,34508.9,942.28,8904.82,410.22,323.52,0.0,0.0,0.0,294.91,7876.17,0.0,0.0,5946.22,,0.0,0.0,0.0,,8863.35,0.0,201.95,0.0,525.54,0.0,0.0,0.0,13.82,59906.88
2020,1.0,"Allison,Dean",Niagara West,1057.0,74983.0,52294.11,325.0,12706.86,2280.15,2256.74,0.0,0.0,0.0,1277.94,6892.03,0.0,0.0,4053.5,,4971.18,0.0,0.0,,13556.26,0.0,500.5,2997.39,1155.0,0.0,85.34,177.84,0.0,92822.98
2020,1.0,"Amos,William",Pontiac,30586.0,92341.0,54869.69,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6297.19,,0.0,0.0,0.0,,12749.68,0.0,0.0,817.29,2750.55,698.81,0.0,0.0,0.0,78283.21
2020,1.0,"Anand,Hon. Anita",Oakville,83.0,90334.0,40075.83,300.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,250.0,,0.0,0.0,0.0,,14400.0,0.0,0.0,0.0,785.8,360.81,0.0,198.0,0.0,66370.44
2020,1.0,"Anandasangaree,Gary",Scarborough—Rouge Park,57.0,77449.0,42870.36,4975.0,9550.15,399.74,0.0,0.0,0.0,0.0,0.0,9150.41,880.0,87.95,1120.0,,0.0,3205.0,0.0,,15600.0,546.29,0.0,334.27,350.62,360.81,779.72,238.46,0.0,80898.63
2020,1.0,"Angus,Charlie",Timmins—James Bay,251599.0,63903.0,52136.5,4455.9,6377.42,959.4,0.0,0.0,231.54,0.0,688.12,4498.36,0.0,0.0,3842.1,,0.0,0.0,0.0,,11207.0,0.0,300.0,5158.0,1070.22,120.0,0.0,102.37,0.0,84769.51
2020,1.0,"Arnold,Mel",North Okanagan—Shuswap,16734.0,107712.0,46671.8,475.0,10343.64,2256.74,0.0,0.0,0.0,0.0,0.0,8086.9,0.0,0.0,249.5,,0.0,0.0,0.0,,10451.76,331.44,0.0,104.45,1036.96,0.0,83.6,1292.06,0.0,71040.21
2020,1.0,"Arseneault,René",Madawaska—Restigouche,11962.0,50828.0,43196.03,0.0,9662.25,2071.48,0.0,0.0,284.34,0.0,786.43,6520.0,0.0,0.0,5119.0,,0.0,0.0,0.0,,10465.6,0.0,0.0,4020.0,666.21,360.81,0.0,2253.6,0.0,75743.5
2020,1.0,"Arya,Chandra",Nepean,179.0,93734.0,42975.04,438.75,2454.16,2311.52,0.0,0.0,0.0,142.64,0.0,0.0,0.0,0.0,511.96,,9961.17,0.0,30.04,,22293.21,0.0,0.0,0.0,778.01,360.81,0.0,66.0,0.0,79869.15
2020,1.0,"Ashton,Niki",Churchill—Keewatinook Aski,494701.0,51482.0,64342.32,0.0,17681.12,2854.02,6804.48,5113.84,0.0,0.0,0.0,2908.78,53.36,0.0,826.66,,0.0,0.0,0.0,,7620.06,0.0,0.0,0.0,719.41,0.0,11.46,194.83,0.0,91449.22
2020,1.0,"Atwin,Jenica",Fredericton,1678.0,66606.0,53407.49,632.35,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,30.0,,0.0,0.0,0.0,,0.0,0.0,2400.0,151.67,600.95,0.0,0.0,717.43,0.0,62939.89
2020,1.0,"Bachrach,Taylor",Skeena—Bulkley Valley,327275.0,67474.0,61409.45,20.0,21493.36,6007.25,1611.93,3223.86,2736.82,778.35,952.94,6182.21,0.0,0.0,5380.9,,0.0,0.0,0.0,,18257.52,571.25,0.0,1639.6,867.73,0.0,188.13,1563.42,0.0,111391.36
2020,1.0,"Badawey,Vance",Niagara Centre,334.0,90968.0,50555.54,1005.0,10331.22,796.08,0.0,0.0,0.0,0.0,271.74,9263.4,0.0,64.95,1828.6,,0.0,0.0,0.0,,10833.12,0.0,0.0,144.98,734.54,485.81,325.21,797.3,0.0,77106.27
2020,1.0,"Bagnell,Hon. Larry",Yukon,482443.0,29591.0,55441.58,324.97,11120.1,4658.33,0.0,0.0,1043.29,0.0,0.0,5418.48,0.0,0.0,314.0,,2232.55,0.0,0.0,,15100.0,0.0,0.0,2798.0,814.72,360.81,0.0,376.2,0.0,88882.93
2020,1.0,"Bains,Hon. Navdeep",Mississauga—Malton,102.0,79810.0,51932.92,0.0,666.04,0.0,666.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,11995.32,0.0,0.0,4220.0,379.06,360.81,0.0,0.0,0.0,69554.15
